MB1000101011ASHBROOK          W00041011199807050029133W199807
MB1000101011ASHBROOK          W00041022199807200029133W199807
MB1000102011BELLWEATHER       W00041031199807050017978W199807
MB1000102011BELLWEATHER       W00041042199807200017977W199807
MB1000103011CALVERSON         W00041051199807050012983W199807
MB1000103011CALVERSON         W00041062199807200012982W199807
MB1000105011ESTERBROOK        W00041071199807050011509W199807
MB1000105011ESTERBROOK        W00041082199807200011508W199807
MB1000106011FENWORTH          W00041091199807050037013W199807
MB1000106011FENWORTH          W00041102199807200037013W199807
MB1000109024IVERSHAM          W00041111199807050027884W199807
MB1000109024IVERSHAM          W00041122199807200027884W199807
MB1000113037MARLBOROUGH       W00041131199807050026885W199807
MB1000113037MARLBOROUGH       W00041142199807200026885W199807
MB1000117037QUARRINGTON       W00041151199807050031059W199807
MB1000117037QUARRINGTON       W00041162199807200031059W199807
MB1000121052UNDERHILL         W00041171199807050015341W199807
MB1000121052UNDERHILL         W00041182199807200015340W199807
MB1000122052VANDERMOLEN       W00041191199807050015258W199807
MB1000122052VANDERMOLEN       W00041202199807200015257W199807
MB1000123052WETHERALL         W00041211199807050015258W199807
MB1000123052WETHERALL         W00041222199807200015257W199807
MB1000124052YARDLEIGH         W00041231199807050037125W199807
MB1000124052YARDLEIGH         W00041242199807200037125W199807
MB1000125052ZABRISKIE         W00041251199807050037125W199807
MB1000125052ZABRISKIE         W00041262199807200037125W199807
MB1000126068ABERNATHY-COLE    W00041271199807050047355W199807
MB1000126068ABERNATHY-COLE    W00041282199807200047355W199807
MB1000127068BRIGHTWATER       W00041291199807050016277W199807
MB1000127068BRIGHTWATER       W00041302199807200016277W199807
MB1000128068CROSSFIELD        W00041311199807050002238W199807
MB1000128068CROSSFIELD        W00041322199807200002238W199807
MB1000129068DELACOURT         W00041331199807050011306W199807
MB1000129068DELACOURT         W00041342199807200011305W199807
MB1000130068EMBERLY           W00041351199807050030651W199807
MB1000130068EMBERLY           W00041362199807200030651W199807
MB1000131073FALLOWFIELD       W00041371199807050039343W199807
MB1000131073FALLOWFIELD       W00041382199807200039342W199807
MB1000132073GRANTHAM-ODELL    W00041391199807050027772W199807
MB1000132073GRANTHAM-ODELL    W00041402199807200027772W199807
MB1000133073HAVERSHAM         W00041411199807050003380W199807
MB1000133073HAVERSHAM         W00041422199807200003379W199807
MB1000134073INGLEBRIGHT       W00041431199807050013882W199807
MB1000134073INGLEBRIGHT       W00041442199807200013882W199807
MB1000136073KILBRIDE          W00041451199807050006551W199807
MB1000136073KILBRIDE          W00041462199807200006550W199807
